,name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
0,Bellevue,Doldrums,Franz Becker,2Djv53hoQWobBuNHkSKpXC,2020-05-08,48,0.332,0.0191,0.222,-29.569,2
1,Sky,Nostalgia,Masaki Kawasaki,1K9UBbr4hJfl9GSL0el09P,2019-08-26,0,0.453,0.0973,0.285,-22.813,2
2,Pour toujours,Pour toujours,Bernadette Boulet,6vkmvL8i9sfIHoAlzJcfAO,2021-01-15,62,0.227,0.0643,0.31,-29.419,2
3,West Virginia,Rites of Passage,Chris Donner,2733cS6pVTBtpTCrf8lbeQ,2020-08-07,40,0.475,0.0123,0.289,-29.586,2
4,supine,hopes,Teodor Wolgers,7IMGJM5S0YYcQhvtdeJH14,2019-11-08,58,0.533,0.0608,0.527,-30.09,2
5,Feel Like April,Feel Like April,Wataru Sato,1cgfxn9YQ0dFQ7MzWwHsQf,2020-05-27,37,0.29,0.251,0.427,-22.438,2
6,Two Dogs,A Quiet House,Tim Tulsa,1Tdur1cMW2Lz1D9nWWEJQ9,2018-02-27,28,0.606,0.0333,0.334,-29.235,2
7,The Endless Winter,The Endless Winter,Sub-City Keys,2X8hpFc05bqx2vkvUw3GhP,2019-02-01,45,0.499,0.01,0.226,-29.61,2
8,Alt jeg tør,Alt jeg tør,Elise Lindahl,6oCUME6tmQJi4LPHogLpUV,2021-01-15,55,0.415,0.00179,0.0782,-33.759,2
9,Can´t Help Smiling,Winter Unflorished,James DiResta,2iVPty0FBstGSURghngIgo,2021-01-22,42,0.293,0.0383,0.109,-32.528,2
10,A Busy Day,Piano 1 (Extended),Robin Bennich,1BIB1xG9pSf8bDX5c2Jo9d,2019-09-06,40,0.138,0.185,0.509,-23.037,2
11,Linger On,Doldrums,Franz Becker,0Uhd2WC2q53YCbZ5NVNYoB,2020-05-08,42,0.466,0.0153,0.258,-30.572,2
12,Heartland,Heartland,Lihua Zhao,0M3DaTZsuttjClg5VG8exA,2021-10-08,57,0.325,0.0762,0.141,-28.507,2
13,Cherry Trees 桜,Cherry Trees 桜,Asuka Eiko,4YNhjGtSnzvyZCo3Gd5GPT,2019-04-26,36,0.569,0.141,0.322,-21.821,2
14,The Garden,The Garden,Vita Menzer,2OaoXYurShXZuFU5hmUva6,2019-05-17,49,0.505,0.0191,0.263,-27.918,2
15,Wonder,Lucid Dreamin' II,Arelius,0LRjR9cx8rJDYTRIHq7rxp,2019-05-27,50,0.224,0.234,0.121,-18.905,2
