name,album,artist,id,release_date,popularity,danceability,energy,valence,loudness,kmeans
You're All I Want,You're All I Want,Cigarettes After Sex,4nvLuqwTOZdEJI1fcHXv8h,2020-05-26,69,0.233,0.471,0.277,-10.947,chill
Tides,Tides,Bonobo,7rRYiBxeudiHMNmgptnne9,2021-10-20,66,0.6,0.314,0.201,-9.109,chill
I’ll Keep You Safe,I’ll Keep You Safe,Vluestar,3YfNhioGntblm6ciPsCwC9,2018-05-08,73,0.54,0.341,0.283,-10.399,chill
Water Theme,Winter Flower,Clams Casino,3teH1kAL5KrlUYosdt2nJI,2021-11-17,56,0.295,0.357,0.352,-9.116,chill
I Need U,I Need U,yaeow,5lbdxt9C6rsELTimTkyMn8,2020-05-28,chill,0.402,0.405,0.072,-12.486,chill
Sunrise,Sunrise,Kevitch,504BrFbtkCK5GG8U0wb2qb,2020-01-01,61,0.609,0.389,0.144,-11.675,chill
Buzzed,Buzzed,¿Téo?,125DSBjIfOOCkmyRukprZT,2021-06-01,61,0.599,0.484,0.371,-11.866,chill
idc,idc,Kevitch,0wJLHHZerP72pehv0g4RVq,2021-10-14,56,0.555,0.431,0.0934,-8.87,chill
homebody,homebody,Kamal.,3I3ZmlSouhOYDHGWn3w0CW,2020-03-04,63,0.762,0.244,0.255,-14.089,chill
Rings of Saturn,Apollo 8,Alann8h,6B2smPDLlM2Ms59jSB4pVH,2021-11-19,55,0.521,0.487,0.108,-8.501,chill
Not Around,Not Around,Nova,1Adhz5VVDZxhojOLfQQUxa,2019-08-04,78,0.499,0.695,0.235,-9.452,chill
Rain,Rain,Lucy Park,72afDNRJsldkG7R02rRdA1,2020-08-28,60,0.716,0.231,0.231,-14.739,chill
Sola,Sola,Nina Cobham,237dlPXLNIsatIRYKRbCWN,2020-03-27,chill,0.749,0.383,0.334,-13.404,chill
The Shaman,The Shaman,Joey Pecoraro,7FzTEzwDcjfxCFlNGkkrAU,2021-11-19,53,0.677,0.46,0.23,-10.749,chill
Red Room,Red Room,Hiatus Kaiyote,0aefDhwto2nL2kTHIiil0J,2021-04-27,61,0.687,0.361,0.453,-9.782,chill
Magia,Magia,Monogem,4jMHWmtD14blSqbRhq2gjp,2021-08-26,54,0.574,0.503,0.291,-9.919,chill
4:38am,The Color of Nothing,ford.,1mCS2aMR3hGZV1stAkjLcV,2020-10-16,chill,0.754,0.342,0.349,-11.3,chill
Time Moves Slow,IV,BADBADNOTGOOD,1I40L32fTSSkBkPeArX9Ul,2016-07-08,69,0.619,0.381,0.312,-10.691,chill
interested,interested,Nina Cobham,1Ubu0Ux7X3QpsMUYIt3HFT,2021-05-26,57,0.833,0.288,0.23,-11.599,chill
Crust,Yasuke,Flying Lotus,3KsS9NkC5ZlPAIWpGoL5Sx,2021-04-30,66,0.676,0.408,0.226,-7.937,chill
Queen of Paisley,Queen of Paisley,Silas Short,2YwDDVHflNhUKgu70WR7OH,2021-08-04,48,0.662,0.253,0.333,-9.975,chill
dreamin',dreamin',53 Thieves,4PlzJVdaRYC9Fg2AqlOxer,2020-02-07,61,0.831,0.419,0.339,-7.381,chill
12:34 AM,12:34 AM,Billy Lemos,16iNVfWKKZPDjctIcd0KMn,2017-06-27,66,0.711,0.473,0.32,-11.971,chill
No Trouble,Drugstore Heaven,Houses,2cd4QBg7XpGuSxq0yVHK2j,2021-04-02,51,0.527,0.354,0.242,-14.037,chill
Sleep Away,Sleep Away,Pastel,0yI8QQG8rKIYMMdIUJsllk,2021-11-12,47,0.616,0.204,0.471,-16.436,chill
But There's Still the Moon,But There's Still the Moon,Tasha,0tA5pH2uW1fKCQ44khDie8,2020-04-16,chill,0.662,0.36,0.271,-11.924,chill
Løb Stop Stå,Mellem Dine Læber,Boom Clap Bachelors,3wyLILirr6oFIFw1vYuktv,2020-08-07,53,0.493,0.335,0.279,-13.986,chill
peppermint,peppermint,lavender,1YjEwY8FrctMA4MX0RkdRx,2020-07-10,56,0.564,0.379,0.564,-7.732,chill
Automatic - Orion Sun Remix,Automatic (Orion Sun Remix),Spencer.,3IQ6PPDCEJBRFiqUCWeyI0,2021-04-27,57,0.647,0.459,0.261,-13.058,chill
Wish I Was Better,Wish I Was Better,Kina,1kAkUHFb7ryeVkVSRD6Nkj,2020-04-10,69,0.732,0.304,0.185,-13.086,chill
Sun is going down,Sun is going down,HIMI,362Ev5LFc9zje3MhnzugOZ,2021-02-06,25,0.497,0.266,0.149,-12.67,chill
I Leave Again,I Leave Again,Petit Biscuit,5QI8TzL0eOULZSwsr1FJzu,2020-05-20,chill,0.755,0.614,0.148,-9.481,chill
3Hands / Divine Hand I,Rare Pleasure,Mndsgn,6HA8GGGDkEzJH1OWU5mRGg,2021-06-04,1,0.275,0.545,0.0837,-9.78,chill
Dreams,WHEN WE'RE FAR APART I FALL APART,Abby Holliday,17TX3VpcIYnjHLTFbXE9zO,2021-07-16,50,0.365,0.346,0.281,-12.907,chill
Lost Cause,Lost Cause,Billie Eilish,2xdwCJLfKCkat14mlgR26M,2021-06-02,40,0.671,0.336,0.518,-8.494,chill
do you come here often?,do you come here often?,Nina Cobham,0ShHM5WuJOUCexBXVi52My,2020-11-25,52,0.774,0.425,0.348,-11.925,chill
Get You The Moon (feat. Snøw),Get You The Moon (feat. Snøw),Kina,4ZLzoOkj0MPWrTLvooIuaa,2018-10-08,83,0.498,0.235,0.0895,-16.541,chill
Larabar,Larabar,Wet,5wNVNjLNMX0jhefWFOqgT2,2021-08-04,55,0.491,0.318,0.152,-10.057,chill
The Most Beautiful Thing,The Most Beautiful Thing,Bruno Major,7EncNzyGs8uJiQittB38ef,2020-05-01,chill,0.806,0.362,0.42,-10.381,chill
alien jewelry,isolation,John The Blind,33pTrKPiYyP4F49jCgjNio,2021-01-12,49,0.453,0.541,0.219,-10.664,chill
All I C Is U,Hunny,Nate Traveller,2x4NzWn2QKMfnkwZzrQrd5,2020-10-16,51,0.445,0.212,0.0939,-14.313,chill
Sometimes (Backwood),Sometimes (Backwood),gigi,5ysFFsqJFcsX8Rez67j2tv,2021-02-15,71,0.41,0.174,0.0694,-11.405,chill
Muse,Muse (You Inspire Me),Afro Nostalgia,7mtYsNBYTDPa8Mscf166hg,2018-07-16,51,0.879,0.315,0.246,-13.052,chill
When Will I Learn,When Will I Learn,Tora,2ScZesPRtAwvZvajHgxDdQ,2021-05-27,43,0.671,0.399,0.187,-11.571,chill
something to live for,something to live for,kerri,0iQPej6D7P8i2lWlulqH2T,2020-08-07,49,0.58,0.34,0.347,-14.906,chill
My Mind Is a Maze,Dumb Daze,Alann8h,2P4qoMmSqElFcI7GYaPLwf,2020-05-14,57,0.85,0.223,0.468,-11.46,chill
Your Imagination (feat. Jaden),Your Imagination (feat. Jaden),Babe Rainbow,2EHQk2I0PFsu1zMa8eHeBB,2021-03-24,52,0.433,0.347,0.298,-9.553,chill
STAND STILL,STAND STILL,Bensbeendead.,6C54NvHWrSBZ5hQJTGH5RN,2020-09-30,49,0.629,0.355,0.27,-6.253,chill
3am,3am,Jaspa,2uWaQb9xq100a2QHDWQyRI,2020-04-17,51,0.565,0.44,0.229,-10.009,chill
cloud castle,jams EP,Luna Li,3gyIcFToYNdOJycgMShtb2,2021-02-05,51,0.556,0.563,0.349,-6.731,chill
Keep You Warm,This Empty Town,Jaguar Sun,4GjWZDfWw5ZnW9vmioJwY0,2020-07-24,53,0.527,0.555,0.18,-11.346,chill
Always Afternoon,Always Afternoon,Medasin,6GMaQmdpwGolGyuW6ZJ9X9,2019-05-10,61,0.598,0.357,0.168,-12.104,chill
Loving You Is a Mountain,Three,Isaia Huron,4tqZET1gHOGWY6UbHv6qWf,2020-01-03,chill,0.426,0.484,0.0384,-7.772,chill
Opiate,Opiate,Puma Blue,1iXho1Srl0akpZSSHfOFvP,2020-11-17,52,0.868,0.334,0.356,-8.81,chill
Rise,R I S E,WILLOW,0gxVuBfUu1TbmFyJZwK6X0,2020-11-20,56,0.321,0.317,0.129,-12.921,chill
Stuck in the Sky,Stuck in the Sky,María Isabel,0PZdvrkdzVpIyVCL7KLR2r,2020-10-16,51,0.395,0.344,0.0814,-10.529,chill
ACOUSCOUS,ACOUSCOUS,emawk,64lmE7hixqSVxMsk5nvG8e,2021-02-27,55,0.427,0.371,0.354,-11.405,chill
Tell Me,Tell Me,w00ds,0ndV1KbJuiFxPuZ4cJZZi8,2020-12-11,50,0.675,0.414,0.27,-12.641,chill
Doors To Kick (feat. BOYFRN),Doors To Kick (feat. BOYFRN),Bobby Freemont,304031hRDCZEAIItiKxSol,2021-05-20,48,0.67,0.319,0.253,-8.569,chill
Cotton Candy,Cotton Candy,Weston Estate,2UvMgTm9y3lStOyQE2yxKA,2019-05-24,56,0.606,0.275,0.19,-10.004,chill
Stay Where You Are,Stay Where You Are,Yuna,1hCss2zjMPOdWFbr5Ryf3F,2020-05-15,chill,0.569,0.339,0.121,-8.661,chill
James,Typical of Me,Laufey,3yQmQSliq7uJhJet0YGmeX,2021-04-30,53,0.5,0.372,0.371,-9.906,chill
Beautiful,Beautiful,Rhye,0UldHegZYf4q7bYDSGBZhq,2020-05-08,56,0.817,0.306,0.402,-11.959,chill
High (Remix),High (Remix),fika,32R9F2G42rDjgkZg3k5ecx,2020-04-23,50,0.502,0.513,0.102,-11.95,chill
you and the everything of everything,you and the everything of everything,RⱯHM ⚉,1Y8F8VNZ3Ij0MaD8PcpGpW,2021-01-29,48,0.635,0.448,0.239,-9.106,chill
What if,What if,HIMI,2nQSYKTUonp2v4HjMeZz0e,2021-03-26,47,0.413,0.275,0.175,-12.391,chill
Like Summer,Like Summer / Nothing Beyond,Kyan,3innRzfJF3RMcZbXv6It28,2018-05-25,51,0.605,0.425,0.376,-11.586,chill
Nothing,To Let A Good Thing Die,Bruno Major,2IAR0DziHCjSu16gR4ihvy,2020-06-05,85,0.555,0.27,0.274,-15.892,chill
this is what falling in love feels like,this is what falling in love feels like,JVKE,4UG2Fm0E98LhE2dlNxiAXx,2021-09-03,80,0.424,0.438,0.325,-5.53,chill
Moon,Donda,Kanye West,2Rd4eJ4KwXQQn2sMSToyUM,2021-08-29,66,0.319,0.236,0.254,-9.644,chill
Nothing's the Same,Nothing's the Same,Alexander 23,3NllHdYknM2F6UxxGevXWc,2020-12-11,chill,0.735,0.32,0.401,-11.32,chill
this is how you fall in love,this is how you fall in love,Jeremy Zucker,0742PcMPo2Akmo4vHC29VZ,2021-01-15,7,0.52,0.204,0.274,-12.488,chill
Till Forever Falls Apart,Till Forever Falls Apart,Ashe,2769RhOZs0ezRncRW1vryp,2021-03-02,74,0.509,0.498,0.283,-6.94,chill
Astronomy,Astronomy,Conan Gray,0KmgJyW4GDgonqsoyx0CZ3,2021-05-07,78,0.471,0.335,0.111,-8.767,chill
Painkiller,Painkiller,Ruel,1abFkY2jm6KDFMZ7RD9YJh,2019-04-30,63,0.675,0.414,0.439,-6.508,chill
AM I DREAMING (feat. Miley Cyrus),MONTERO,Lil Nas X,6isTQfKXhNO3EyJd9mSxx8,2021-09-17,75,0.629,0.445,0.209,-6.999,chill
hungover sunday,hungover sunday,Christian French,3jGlOBjMJiNDWhdqRJl5dK,2019-07-12,61,0.673,0.327,0.449,-7.67,chill
Brainstorm,Brainstorm,Alexander 23,3VcFoOwKYurSedLtz9nFJC,2020-10-09,chill,0.658,0.317,0.262,-12.318,chill
Put Your Records On,Put Your Records On,Ritt Momney,1fah1uAs7HeTYDlNftKr3K,2020-04-24,1,0.399,0.492,0.159,-10.777,chill
Cry with you,Cry with you,Jeremy Zucker,0hqJxaNkPQ3sPm1tvfPlAe,2021-08-20,66,0.51,0.307,0.356,-9.921,chill
What They'll Say About Us,What They'll Say About Us,FINNEAS,27Y1N4Q4U3EfDU5Ubw8ws2,2020-09-02,51,0.535,0.314,0.0663,-12.823,chill
nobody else,mama's boy,LANY,7GLBqDKAJLCLIsj2GEDkSw,2020-10-02,61,0.569,0.291,0.313,-14.509,chill
Feels (feat. Khalid),Feels (feat. Khalid),WATTS,6LZ9FO9UsGIcTKbShnfNsG,2021-03-12,68,0.548,0.35,0.0802,-12.52,chill
Six Feet Apart,Six Feet Apart,Alec Benjamin,22AJMMJMaQ3qtTwlegrKcm,2020-04-09,64,0.492,0.378,0.497,-7.117,chill
I Like It When You Love Me,Home Tapes,Oh Wonder,6UiS2IW9dEZwC6TluY5zSy,2020-05-01,2,0.481,0.432,0.194,-11.982,chill
right here,right here,keshi,2xnNgKhyMl9MxBmRNGnBJP,2019-09-24,31,0.619,0.445,0.35,-10.332,chill
airplane thoughts,airplane thoughts,dhruv,6LyNmMNe5Xomr3MFL6dS7n,2021-09-28,58,0.677,0.454,0.273,-8.555,chill
i don't want to watch the world end with someone else,i don't want to watch the world end with someone else,Clinton Kane,58qX77t2VWMWcycsh9zKLc,2020-05-08,74,0.535,0.359,0.488,-9.343,chill
IDK You Yet,IDK You Yet,Alexander 23,47EWMOElkkbMp5m9SBkx7d,2020-04-09,5,0.629,0.306,0.191,-11.735,chill
Your Power,Your Power,Billie Eilish,5qNh5WtzMbfpSj2jLlBkoD,2021-04-29,40,0.634,0.285,0.203,-14.007,chill
17,17,Pink Sweat$,034KyQEk7IhbLtniVhBErj,2020-02-28,68,0.558,0.364,0.252,-8.663,chill
Heather,Kid Krow,Conan Gray,4xqrdfXkTW4T0RauPLv3WA,2020-03-20,89,0.357,0.425,0.27,-7.301,chill
the author,the author,Luz,54fT5TBqwmJKn6NmJR5VKe,2020-09-18,43,0.354,0.264,0.227,-12.571,chill
Ordinary People,Ordinary People,Blake Rose,0FrHyYxj92dg4qIu8BO30l,2020-06-26,64,0.363,0.12,0.176,-11.662,chill
ghost town (voice memo),ghost town (voice memo),Chloe George,0PKAijroHpnEtdY20bkGdr,2021-03-30,72,0.471,0.229,0.358,-6.504,chill
New Normal,New Normal,Khalid,2CIYemjFXdmCWpJnfbtrD6,2021-07-21,74,0.39,0.534,0.244,-9.575,chill
Better,Better,ZAYN,1dLXLETYiZohIZWnse4ypG,2020-09-25,67,0.637,0.418,0.0807,-7.137,chill
Gone,Gone,Blake Rose,6sHxpnCerm9M6A5zaFFNfs,2020-02-07,69,0.317,0.545,0.14,-6.439,chill
Honey,Honey,The Motel Brothers,78x5EmgSFz6SJV8x2Q8hqx,2019-08-30,54,0.703,0.313,0.424,-10.399,chill
Moral of the Story (feat. Niall Horan),Moral of the Story (feat. Niall Horan),Ashe,2NWVdwbd2hPIzC2lyf4y63,2020-06-17,71,0.599,0.374,0.224,-8.896,chill
Male Fantasy,Happier Than Ever,Billie Eilish,4ak9GGe6afmi2HbxEjvhIC,2021-07-30,77,0.687,0.288,0.308,-10.415,chill
Dear August,Dear August,PJ Harding,16gW9O8A4rIMx5OOVlzsSn,2021-02-12,70,0.643,0.324,0.444,-7.817,chill
Falling,Fine Line,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,87,0.567,0.267,0.0592,-6.502,chill
Meant To Be,Meant To Be,Ber,136J2Jkg8sG7P5wilO9P1R,2021-10-06,71,0.5,0.156,0.405,-11.472,chill
Hope Is A Heartache,LÉON,LÉON,3w1P8nwsVi9vxrGvxYLzAC,2019-03-01,69,0.468,0.495,0.235,-6.634,chill
July (feat. Leon Bridges),July (feat. Leon Bridges),Noah Cyrus,3V0nnQhqvbE3JmiDdnzQFQ,2019-11-08,75,0.708,0.211,0.362,-9.603,chill
First Times,=,Ed Sheeran,5QYnNhTKsN3kE7OaqILA1U,2021-10-29,81,0.587,0.267,0.352,-9.206,chill
Paper Planes,Paper Planes,Elina,5GzgEC6pWf1USZsCtkG8yC,2020-03-13,69,0.529,0.351,0.529,-12.484,chill
Like No One Does,Like No One Does,Jake Scott,2HnfqILzgKt1CepTlU4oqq,2020-04-03,66,0.8,0.41,0.442,-12.734,chill
Destroy Myself Just For You,Destroy Myself Just For You,Montell Fish,7vMDFGBs0CTEkENk2dyCnc,2021-11-26,70,0.52,0.189,0.226,-15.437,chill
Feelings,Feelings,Lauv,0y675KDleCZEudjoeL1sQQ,2019-09-19,4,0.694,0.466,0.246,-6.758,chill
Friend,minor,Gracie Abrams,6fGSHpEipD1YjtLLChnBzW,2020-07-14,65,0.7,0.494,0.229,-4.908,chill
In a Stranger's Arms,In a Stranger's Arms,LÉON,5Tl8bvgo5shLODXiT9ckva,2020-02-07,chill,0.517,0.435,0.335,-7.532,chill
Finally // beautiful stranger,Finally // beautiful stranger,Halsey,5YvcUK2eXJ2OllqDuEg18S,2019-12-06,65,0.626,0.55,0.123,-5.105,chill
Grey,The Good Times and The Bad Ones,Why Don't We,2J4DpqJCIuuM9WjtWHbjvd,2021-01-15,69,0.298,0.295,0.199,-8.789,chill
Still Don't Know My Name,Euphoria (Original Score from the HBO Series),Labrinth,6N22FZs2ZhPBYi3b9XPajV,2019-10-04,81,0.316,0.63,0.313,-5.963,chill
if we never met,if we never met,John K,5HBDBBr5OV90lubqW8ctJF,2019-04-26,71,0.958,0.376,0.331,-7.063,chill
Changes,~how i'm feeling~,Lauv,3vUc9WQpoca15404jNdzf9,2020-01-02,chill,0.532,0.455,0.204,-8.366,chill
Cold,Cold,Boy In Space,5jYe1mOKg5zUx0enf1DOdz,2019-08-08,70,0.711,0.412,0.186,-6.827,chill
For Tonight,For Tonight,Giveon,61Emqg95O9zo1GNOcyxq4Y,2021-09-24,83,0.442,0.517,0.2,-7.807,chill
Strange,Not Your Muse (Deluxe),Celeste,7sq2z9oX2S0CvgTqCZ0ko4,2021-01-29,77,0.286,0.0847,0.112,-9.883,chill
Best Days,In The Meantime,Alessia Cara,3z1DnGBH2uhlDekJr0YVzQ,2021-09-24,68,0.518,0.318,0.227,-11.727,chill
What A Time (feat. Niall Horan),Inner Monologue Part 1,Julia Michaels,5WtfUKzXircvW8l5aaVZWT,2019-01-24,85,0.516,0.467,0.386,-6.184,chill
Wild Life,Wild Life,OneRepublic,6oaQuXiRKqQq9ITJBV1XmC,2020-09-25,63,0.498,0.764,0.0557,-8.096,chill
smiling when i die,smiling when i die,Sasha Alex Sloan,7yCyhsU75MYdbeqRLhLY51,2019-09-20,60,0.753,0.41,0.23,-10.636,chill
drivers license,drivers license,Olivia Rodrigo,7lPN2DXiMsVn7XUKtOW1CS,2021-01-08,38,0.585,0.436,0.132,-8.761,chill
I Hate U,I Hate U,SZA,5dXWFMwD7I7zXsInONVl0H,2021-12-03,87,0.535,0.388,0.412,-9.805,chill
It'll Be Okay,It'll Be Okay,Shawn Mendes,2KnLkZ3z7PO3kgVGHGqDpD,2021-12-01,84,0.398,0.286,0.0666,-11.881,chill
deja vu,SOUR,Olivia Rodrigo,6HU7h9RYOaPRFeh0R3UeAr,2021-05-21,90,0.442,0.612,0.178,-7.222,chill
comethru,"summer,",Jeremy Zucker,18uwL0vNUanqZH0ro2QcOP,2018-09-28,81,0.795,0.178,0.608,-11.991,chill
Hey There Delilah - Bonus Track,Every Second Counts,Plain White T's,3DWOTqMQGp5q75fnVsWwaN,2006,62,0.522,0.453,0.306,-7.859,chill
Chasing Pavements,19,Adele,2OuNgtXKeCSORKqdl0MxKk,2008-01-28,2,0.614,0.47,0.329,-6.09,chill
