name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
From the Dining Table,Harry Styles,Harry Styles,1IF5UcqRO42D12vYwceOY6,2017-05-12,77,211960,0.671,0.804,0.156,0.0518,0.113,0.201,-16.288,0.0371,94.08,8,4
Return2Sender,Return2Sender,Scarypoolparty,2esqfaQ1qUwVQB4bl5Vc70,2020-08-28,46,288192,0.508,0.12,0.482,0.283,0.0595,0.381,-11.571,0.0316,157.951,1,4
Somebody Else,"I like it when you sleep, for you are so beautiful yet so unaware of it",The 1975,5hc71nKsUgtwQ3z52KEKQk,2016-02-26,75,347520,0.61,0.195,0.788,0.0142,0.153,0.472,-5.724,0.0585,101.045,0,4
supposed to,supposed to,BLÜ EYES,1Ya1He3XsuZVzq8tl3tdE9,2021-03-24,59,174500,0.801,0.0669,0.567,0.000146,0.0909,0.662,-6.332,0.155,133.997,2,4
WONDER (reimagined by Jagwar Twin),WONDER [reimagined],morgxn,0qLYHvobT7ksOx4KqlyOqf,2020-11-20,54,221884,0.485,0.268,0.441,2.52e-06,0.212,0.175,-7.101,0.0252,99.913,11,4
Hollow,Hollow,Mills,2tCL2T0TTIOS0s70HCJP3L,2021-01-12,53,183379,0.291,0.69,0.285,5.42e-05,0.147,0.508,-9.74,0.0305,174.597,6,4
Moonlight,Dangerous Woman,Ariana Grande,4TZdeM7zelZGz6JPrXSEZ1,2016-05-20,4,202360,0.633,0.42,0.412,3.57e-06,0.048,0.214,-7.339,0.0284,102.215,9,3
18,FOUR (Deluxe),One Direction,3JjnGLK8IxkNLvo8Lb3KOM,2014-11-17,79,248360,0.681,0.22,0.582,0.0,0.119,0.221,-7.76,0.0313,124.038,6,4
For Now,For Now,Sam Fischer,5wV2TAUTKHcKgaEB6XnWDI,2020-11-27,60,211812,0.731,0.89,0.233,0.0,0.3,0.408,-11.109,0.0376,108.008,1,4
Routine,Routine,Sam MacPherson,5oRAL1SuCwcdDx6IwK54kL,2021-02-10,52,195520,0.641,0.748,0.249,0.0,0.316,0.109,-13.669,0.0733,85.998,4,4
Falling,Fine Line,Harry Styles,1ZMiCix7XSAbfAJlEZWMCp,2019-12-13,87,240133,0.567,0.839,0.267,1.46e-06,0.089,0.0592,-6.502,0.0299,110.011,4,4
brokenhearted - sunset,partly cloudy,joan,2fIhX68Y1P0xLfnJh160tk,2020-12-03,51,261560,0.533,0.904,0.195,0.0,0.106,0.371,-10.012,0.0325,138.783,10,4
All I Want,The Kodaline EP,Kodaline,1XczdQt6RKNkEQfPqUsi3q,2012-09-07,0,306600,0.189,0.114,0.426,0.0885,0.058,0.159,-9.084,0.045,187.281,0,3
Lonely,Lonely,Sofía Valdés,3Mcu3bSlSYJkckbZ1FpfEB,2021-01-15,49,213440,0.479,0.904,0.244,4.78e-06,0.113,0.299,-13.017,0.0363,155.82,0,3
Out of Love,Out of Love,Peter Manos,2rPe95TgVgmyQokYu1FQ2K,2019-01-21,0,164946,0.628,0.949,0.187,0.0513,0.0886,0.266,-16.576,0.0427,120.063,1,3
I’ll Still Have Me,I’ll Still Have Me,Cyn,71HEg3bYLyMAxHuJ3a6KIM,2018-09-21,55,219267,0.604,0.915,0.277,1.82e-05,0.113,0.22,-8.249,0.0286,82.922,2,4
Better Together,In Between Dreams,Jack Johnson,2iXdwVdzA0KrI2Q0iZNJbX,2005-01-01,76,207680,0.871,0.298,0.346,9.24e-06,0.108,0.659,-9.481,0.0522,110.054,5,4
I Wrote You a Letter,Youth,Fudasca,6MjDnmBgbCu2UfDK0DRczh,2018-11-23,53,160020,0.462,0.133,0.217,0.0401,0.129,0.233,-15.251,0.0422,89.868,1,4
